ID_ERRORS,DESCRIPTION
CAUSE_BECAUSE,confusion of cause vs. because
ONE_OF_THE_MOST,one of the most NN
GO_TO_HYPHEN,missing hyphen in 'go to'
AGREEMENT_SENT_START_2,Possible agreement error: plural noun + singular verb
SUBJECT_VERB_AGREEMENT_PLURAL,Subject-verb agreement plural
WENDYS,Wendy's
A_RB_A_JJ_NN,redundant determiner
COMPLAINT_COMPLAINED,He complaint/restraint (complained/restrained)
PRP_DON,they don (don't)
DT_NN_ARE_AME,DT/PRPS + NOUN SINGULAR (NOUN PLURAL) + are/were
WAS_BEEN,was been (has been)
CD_POINT_CD_NN,3.3 kilometre (kilometres)
THERE_IS_A_LOT_OF,there is (are) a lot of
THERE_IS_RB_DT_NNS,There is + ADVERB + DETERMINER + PLURAL NOUN
IT_S_ITS,it's (its)
ON_COMPOUNDS,on boarding (onboarding)
STARS_AND_STEPS,Missing hyphen: number + page/step/star
SUPPOSE_TO,suppose (supposed) to
A_INFINITIVE,a infinitive
ADVERB_OR_HYPHENATED_ADJECTIVE,"Use an adverb or a compound adjective, not an adjective"
NNP_FOR_A,Harry and Jerry (verb) for a walk
LOWERCASE_MONTHS,august (August)
CC_IT_PRP,CONJUNCTION + IT + PRONOUN
PLEASE_NOT_VB,please not do this (please don't do this)
NN_NOT_JJ,missing verb before 'not'
MUST_HAVE,Hyphen in 'must have/see'
PHRASE_REPETITION,Repetition of two words ('at the at the')
THERE_RE_MANY,Possible agreement error 'there're' + singular noun
CONFUSION_OF_VERY_REALLY,she very (really) likes
ALL_YOU_CAN_EAT_HYPHEN,hyphens in 'all-you-can-eat'
PRP_VB_TO_VBG,to + gerund
LOTS_OF_NN,Possible agreement error: 'lots/plenty of' + singular countable noun
UNDERSTAND_INSTEAD_OF_UNDERSTANDING,my understand (my understanding)
PRP_VB_BE,SENTENCE START + PERSONAL PRONOUN + VERB BASE + BE
THE_PUNCT,'The' or 'a' before a punctuation
PICK_UP_COMPOUND,pick up (pickup)
CONFUSION_WORSE_WORST,It's the worse (worst) possible outcome
PEOPLE_VBZ,people + 3rd person verb
DOES_VBZ_DT,does + VERB THIRD PERSON (VERB BASE) + DETERMINER
NOUN_INCORRECT_BE,Incorrect form of noun or verb: the solutions was trivial
BASE_FORM,base form after I/you/we/they
THIS_RB_VB_IN,this + ADVERB + VERB (VERBs) + PREPOSITION
DOWN_COMPOUNDS,down load (download)
HARD_WORKING_COMPOUND,hard working (hardworking)
POSSESSIVE_DETERMINER_SENT_END,Possessive determiner at sentence end
BE_MD,BE + MODAL VERB
BE_VBP_IN,can be access (accessed)
ADMIT_ENJOY_VB,"'admit', 'appreciate', 'avoid', 'enjoy' etc. with a base form of a verb"
MD_NN_VB,MODAL VERB + NOUN SINGULAR (NOUN PLURAL) + BE
SENT_START_PRPS_JJ_NN_VBP,POSSESSIVE PRONOUN + ADJECTIVE + NOUN SINGULAR + VERB 3RD PERSON
AND_END,the and (end)
IS_WAS,is was
BE_COME,be come (become)
THE_ARE,"the (they, there) are"
UP_COMPOUNDS,up date (update)
O_OF,o (of)
SENT_START_NNS_IS,SENTENCE START + NOUN PLURAL + is/was
MD_DT_JJ,modal verb + article
LACK_OF_THEY_ARE_JJ,they (are) good students
A_MD_VB,A would not do it
DT_RB_IN,Adverb instead of noun
EVERY_EACH_SINGULAR,'every/each' + SINGULAR
THE_SOME,the some cars (some cars)
WAY_COMPOUNDS,park way (parkway)
LOS_ANGELS,Los Angels (Los Angeles)
SUBJECTVERBAGREEMENT_2,things about the party is (are)
ANYMORE_ADVERB,anymore (any more)
JJR_ENOUGH,He is smarter (smart) enough for the task.
THERE_MISSING_VERB,There (are) a lot of …
MISSING_BE_JJ,It will (be) possible etc.
STORY_HYPHEN,missing hyphen in '10 story window'
MANY_YEAR_YEARS,"Many year (years) ago, ... "
HE_D_VBD,He'd wrote (write / written)
CC_NNP_VBP,Subject-verb agreement error after conjunction
DETERMINER_GEOGRAPHICAL_WORD,Determiners preceding geographical terms
IT_IS_JJ_TO_VBG,it is ... to doing (do)
TO_PRP_NN,to me (my) + NOUN
HAPPY_EASTER,Happy Easter
SOME_NN_VBP,'some' + sing. noun + verb
LIFE_COMPOUNDS,life style (lifestyle)
VBZ_AND,he works and live (lives)
CA_MOM_AND_POP,Compound adjective: mom and pop
AM_I,missing 'I' in 'am I'
MANY_NN_U,Possible agreement error: 'many/several/few' + uncountable noun
PRP_VB_NN,I/you/we/they + VERB BASE + NOUN SINGULAR
MD_NN,MODAL VERB + NOUN SINGULAR (VERB)
A_BIT,(a) bit
