TEXT,ATTACK,NUMBER_OF_ERRORS,ID_ERRORS
"Get the pasta trio, you won't regret it.  Big heaping portions of fresh pasta delivered to your plate as soon as you have space available. Mmm.  And we went on a Saturday night with no reservations and we're seated in 5 minutes.",BERTAttackLi2020,0,[]
"Great location, Front Desk Staff were very personable. Be prepared to hear fireworks from PNC Park it is right across the river. There is a parking deck across the street with very reasonable rates. My husband and I had a great time here.",BERTAttackLi2020,0,[]
Really poor service and way overpriced. You could make much better choices.They do not keep to a high standard of service.\nThe rooms are not worth the money.,BERTAttackLi2020,0,[]
A friendly place with great seafood.  It is cash only. The clam chowder was meaty and creamy.  The onion rings were crispy and so was the fish. A nice place to see local flair,BERTAttackLi2020,0,[]
"Great spot for weird or obscure parts, general maintenance items, and to  borrow a wrench or two.  Gerry is like a wise eccentric uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.",BERTAttackLi2020,0,[]
"The last 3 or so times I've visited, they've been closed 15 minutes early.\n\nOn the plus side, I've discovered I look damn good with longer hair.",BERTAttackLi2020,0,[]
I am in town for work and I decided to order food from here. The food was awesome! I ordered the People's Special Biryani and they brought the food right to my hotel room. I will definitely order from here again the next time I'm in town.,BERTAttackLi2020,0,[]
"Tram has great Pho, and enough of it to feed all of Pittsburgh when the next fake Armageddon rolls around.",BERTAttackLi2020,0,[]
"Comfortable, friendly, affordable.  Nice stop before an evening out.  I need to head there primetime to assess the evening vibe.  Will be back.",BERTAttackLi2020,0,[]
"the waitresses are salty.\nthe food is mediocre (at best).\nthe place is a total dump.\n\nhowever, it's open late, and the cook with the mustache is rad.  also, you meet the funniest people ever there.",BERTAttackLi2020,0,[]
"I haven't found Thai food that blew me away in Pittsburgh, but the waiter here was incredibly friendly, and my mock duck dish was solidly tasty.",BERTAttackLi2020,0,[]
This place never fails! Curry is amazing. I always get the red bean curry. The service is always fast and courteous. Perfect to sit in and done or to-go. Its BYOB so feel free to bring a beer or wine bottle.,BERTAttackLi2020,0,[]
"My favorite pizza in the city. Hoagies are also pretty good but the pizza takes the spotlight. One of the best places to shoot pool in the south hills next door, what more do you need?",BERTAttackLi2020,0,[]
Boring pretentious mall with old dated stores,BERTAttackLi2020,0,[]
Racist mall management team same team that ran century 3 mall in to the ground stay away nothing good comes out this place,BERTAttackLi2020,1,['CD_NN']
Great products and Katie has been the best!,BERTAttackLi2020,0,[]
I was walking around and decided to try this place out. I asked for a recommendation on a type of ground coffee to take home. The ladies where very helpful and knowledgable. I love the coffee. Thank you.,BERTAttackLi2020,0,[]
"pretty good food, fantastic atmosphere, slightly overpriced, but not unreasonable for the quality and atmosphere",BERTAttackLi2020,0,[]
"No complaints about this place. I tend to gravitate towards this place mid afternoon with my laptop...love the vibe here. Outdoor patio or, NICE window seating upstairs. Creative menu as well. Check it out!",BERTAttackLi2020,0,[]
"You can speak to maurice about adding brewskis to the \""""make your own six ~pack\"""" if one you want isn't there! ;)",BERTAttackLi2020,0,[]
"They take great care of our pets here. We rarely have much of a wait, and all of the staff are courteous and talented in handling and caring for pets. All of the vets we have met with were professional, friendly, and very capable.",BERTAttackLi2020,0,[]
Okay food.  Number of other guests is often zero - uncomfortable.,BERTAttackLi2020,0,[]
"Perhaps it was an off night, but we were really disappointed in our take-out. My husband's pork fried rice was not fried rice...still don't know what it was. His Gen. Tso's chicken was flat and my cashew chicken was flavorless. In the past it has been good food.",BERTAttackLi2020,0,[]
"Get your wallet ready, the prices are crazy high!",BERTAttackLi2020,0,[]
Great place! Good pizza that tastes great and is very authentic! We had a mushroom and sausage and we were very impressed. You won't be disappointed!,BERTAttackLi2020,0,[]
Fabulous place!!!   Went during Queens Feast Restaurant week and it was very organized and accommodating . Food and staff could not be better! Definitely will come back!,BERTAttackLi2020,0,[]
"Great customer service. \nConvenient location. \nLarge assortment of games which is appreciated but the prices are a bit high.\nMinus the prices, I dig it.",BERTAttackLi2020,0,[]
Great place tucked away in 4th ward. You'd never know it was there. Only caveat is that parking is near-impossible. Strict street parking rules make it tough to come here if you're driving. \n\nLondon broil Sandwhich was clutch. Good ambiance as well. \n\nHope to return soon.,BERTAttackLi2020,0,[]
Interesting museum in uptown. From California so it is always interesting to learn about the history of the south. Great family location for an outing to make the day also educational. Brought my daughter who enjoyed the interaction displays that made the experience more fun.,BERTAttackLi2020,0,[]
Great food. I had the hooley kebab for dinner. It was on the lunch menu but they still let me order it. Huge portion. Tasted my dads lamb stew and loved it! It was trivia night so winning 50 bones certainly helped w that 5th star;),BERTAttackLi2020,0,[]
Really nice outdoor patio. Sunday drink special on whiskey was really good. Very reasonable price for uptown. Nice variations on Irish cuisine.  Worth checking out!,BERTAttackLi2020,0,[]
"Best place to go, uptown, for all of your eye care needs. Great docs and staff. \nHighly recommend.",BERTAttackLi2020,0,[]
"Great service, but this is honestly the worst food I have ever eaten out at a restaurant in my life. I dont suggest going here for food EVER (maybe for the drink specials and hookah but nothing else).",BERTAttackLi2020,0,[]
"Like most other Westins, the decor is very nice, and rooms are spacious and full of amenities. The bar and the restaurant is pretty good. Location is in  downtown, but certainly on the edge of town.\n\nDeducting one star since they don't have a platinum/concierge lounge.",BERTAttackLi2020,1,['THE_NN_AND_THE_NN']
"Mert's has my favorite collard greens and corn bread in Charlotte.  The salmon cakes are delicious as are the pork chops.  Fried chicken is above average, although not as delicious as the previous two entrees mentioned.",BERTAttackLi2020,0,[]
"Cornbread!! So yummy.  We took our friend visiting here for some \""""soul food\"""" and Mert's did not disappoint.  Come with an appetite!",BERTAttackLi2020,0,[]
"Not a lot to say other than great southern comfort food. Good fried chicken, great beef ribs. Small servings of ribs, but great flavor. Loved the collard greens and coconut cake. I'd go back. Definately worth trying.",BERTAttackLi2020,0,[]
Was in Charlotte for two days and Merts Heart & Soul was recommended by everyone. Good food great location and I was impressed by the price. I went for Dinner Saturday then brunch on Sunday. I recommend it to,BERTAttackLi2020,1,['MISSING_SUBJECT']
I enjoyed a 3 course brunch at Mimosa. We had a good discussion with our waiter about the area and the meal. Nice ambiance and food was top notch. I look forward to trying lunch/dinner in the future.,BERTAttackLi2020,0,[]
Good food at the right prise. The wait staff was friendly and helpful when ordering. Enjoy the night and eat outside!,BERTAttackLi2020,0,[]
"Not again\nA few simple items turned into a large bill. I thought the charges were excessive and questionable services  that they stated I needed. I unfortunatey did not have time for my routine mechanic, thought this would be convienent with work location. shopper beware\nNot again for me.",BERTAttackLi2020,0,[]
"In my opinion, Duke is destroying the environment in North Carolina as well as other states it operates in. The Dan River will never be the same and due to owning several politicians, they only cleaned up a fraction of the coal ash they spilled into the River.",BERTAttackLi2020,0,[]
"This was a surprisingly great find - the menu had plent of options, the service was outstanding with wonderful recommendations (definitely trust the waitress), and from appetizer to dessert, just a wonderful experience.",BERTAttackLi2020,0,[]
"I have been here twice and it was excellent both times.  Great atmosphere.  Attentive service, but not overly so.  Good wine and drink list.  I had the scallops as an entr\u00e9e both times.  Delicious!  Tried a variety of the appetizers.  All excellent!  Definitely a top choice in Charlotte.",BERTAttackLi2020,0,[]
"We had to rush in and rush out. So we got what we wanted. Great service, great menu, and accommodating. Having only been here once so far, we'll go again.",BERTAttackLi2020,0,[]
Best sushi I've had so far in Charlotte! Make sure you try their Coastal Roll; my husband and I were floored by the sushi quality and the price!\n\nWonderful restaurant and evening all around!,BERTAttackLi2020,0,[]
"Although the price is right and the fried rice is pretty good, it's severely overshadowed by the \""""off\"""" taste of the beef and chicken dishes.  The beef with scallion is 90% bamboo shoots, which isn't even listed as an ingredient, and the dumplings are incredible hulking globs.",BERTAttackLi2020,0,[]
Had the pasta special last night at Mama's and it was unreal.  Pure breast meat chicken bolognese in a tomato sauce with perfectly cooked rigatoni. Chef Drew hits another home run.,BERTAttackLi2020,0,[]
Horrible customer service. Unless you are into horror movies or The Simpsons the people working the counter can't give you a honest review. However they will make fun of your movie selections and treat you like crap. Can't wait to go back!!,BERTAttackLi2020,0,[]
"I ordered take out of Tom Yum soup and Chilli Chicken, what a disappointment. None of these tasted good, Tom Yum soup was kinda disgusting.",BERTAttackLi2020,0,[]
Meh. I've experienced better. The staff is friendly. Just basic chinese food.,BERTAttackLi2020,0,[]
"Best place in Charlotte for comics, hands down. Sadly, not the best place to go for a friendly staff. Condescending tones and mockery of things I asked for/was inquiring about are not a good way to get return business! :( I'll buy online before I go in here again.",BERTAttackLi2020,0,[]
Good food. Friendly staff. Good prices.  I love the Chicken and Broc.  Generals Chicken is good but not great. This is a staple in my diet since I live so close!!,BERTAttackLi2020,0,[]
My cookie had no fortune.,BERTAttackLi2020,0,[]
"HOHO CHERRY HOUSE, not to be confused with a brothel, offers average food at cheap prices. Fast delivery and friendly staff. No matter what protein you pick it pretty much tastes the same.",BERTAttackLi2020,0,[]
Monday night drink specials and an amazingly musical performance will be provided to you with a 5 dollar cover.. What more could you ask for?\n\n\nThis building breeds history and I was proud to experience it my last night in Charlotte.,BERTAttackLi2020,0,[]
LOVE the Etouffee! The chicken with rice and beans is amazing. I can't wait to go back. I love the casual feel and the food is just down right good.,BERTAttackLi2020,0,[]
"The service is great, the food is great.  There's not really anything I can add that hasn't been said in the other reviews.\n\nOther than:  If you don't order the beignets for brunch, you are seriously insens\u00e9.  (that's 'insane' in french.  i think.)",BERTAttackLi2020,0,[]
"Honestly wish I could give it zero stars based on today... ? Security is beyond the worst. Check in with the airline was smooth, thats about it.\nI'm sure its not this bad everyday, or it would be on the news and or shutdown from the lack of business....",BERTAttackLi2020,0,[]
Easy to navigate. Plenty of food options. Careful about the distance between terminals though..,BERTAttackLi2020,0,[]
"i hate US Airways, shitty services",BERTAttackLi2020,0,[]
Really need shorter waiting lines- it got worse. \nThe valet is annoying and gets in the way.,BERTAttackLi2020,0,[]
Great little airport. Now direct connection to Europe. Live piano music in terminal. Us airways hub. Rental car shuttles run every few minutes. Lots of charging stations for electronic devices. Airport is also small enough to make transfers easy.,BERTAttackLi2020,0,[]
I can't anymore. It's too busy here and service is not as fast as other Mickey D's with this kind of volume. Customers are rude too.,BERTAttackLi2020,0,[]
What a fun place to get ideas for your house! They have over 100 booths from different vendors selling everything from jewelry to furniture. We spent a few hours here and bought a few unique treats!,BERTAttackLi2020,0,[]
Don't move here this place is horrible! The only thing it has going for it is that it looks pretty... There is something always wrong with the apartment. I would not ever recommend this place to anyone!,BERTAttackLi2020,0,[]
A very ratchet place with a very ratchet staff.,BERTAttackLi2020,0,[]
...and this chit-hole is still open??  WHY???  Must be so the gang-bangers have a place to conduct target practice.,BERTAttackLi2020,0,[]
"MALL CLOSED\n\nJune 30, 2010\n\nRIP",BERTAttackLi2020,0,[]
"Yet another Hertz location that doesn't have cars for reservations.  Ridiculous wait as they make us sit here waiting for returns to come in.  Seriously, take a taxi.  #hertz",BERTAttackLi2020,0,[]
The chicken wings are great. Everything else was ugh. I had the shrimp with broccoli which by the way was mostly broccoli and the rice tasted like pool water. Never again!!,BERTAttackLi2020,0,[]
"Wow... The best Mexican restaurant in the country.    My advise to you making a connection in Charlotte airport.   Take the lastest contraction, take a cab here for lunch or dinner than go back to the airport.  It's worth the layover.    It's 5 minutes from the airport.",BERTAttackLi2020,0,[]
"Good bread, but steakums do not a cheesesteak make. Stick with cold subs.",BERTAttackLi2020,0,[]
"Shits poppin. Would give five stars but lids on to-go cups are a little iffy. Also damn how many characters do I need to type for this to be a review, the world needs to hear my voice fam",BERTAttackLi2020,0,[]
"Horrible service. Terrible showroom from 1980. Poor attitude by employee. $17 bucks for two balloons, which the employee self proclaimed he didn't know how to inflate with the helium tank. \n\nLet it fold so another small business can have the spot and contribute to the community.",BERTAttackLi2020,1,['IT_VBZ']
"No matter how often I'm there, the staff is horribly rude - not just to me but to every customer. If I ever find another place to take children's items, I will not return. There is no excuse for the ugly attitude and behavior to everyone.",BERTAttackLi2020,0,[]
"this place is solid,  you will never feel ripped off, ever.",BERTAttackLi2020,0,[]
"This is my favorite place in charlotte, with my grandmothers nursing home across the street and me traveling all the time on an fixed amount to spend per city it's great too just sit by the pond and people watch.",BERTAttackLi2020,0,[]
"Great place to watch a game, and banging wings!  What else could you want.",BERTAttackLi2020,0,[]
"Tried again and it was worse.  I didn't like it.  Ordered a combo plate beef burrito, soft taco and tostada. Took most of it home to try and remake it but it was hopeless. Just not good food.",BERTAttackLi2020,0,[]
"Fast food Chinese is generally not that exciting, but I must say this place really was quite impressive. Very fresh tasting ingredients with a lot of good flavors, all served hot and with a smile. What more could you ask for?",BERTAttackLi2020,0,[]
"I took my car here to get my brakes replaced.  They did the work quickly and at a good price.  I went here on a recommendation from a friend, and now I recommend it to my friends when they need work done.",BERTAttackLi2020,0,[]
4 stars for Hardee's ?!?  It's no Culver's by a long shot but that Thick Burger was damn tasty !   I don't know if the restaurant was clean but the drive thru service was good.,BERTAttackLi2020,0,[]
Nice atmosphere. Cheeseburger was not all that.,BERTAttackLi2020,0,[]
"terrible selection of shoes and jeans, and the changing rooms smell like a red line el stop. if you absolutely must visit a department store, drive a few miles and hit up macy's instead.",BERTAttackLi2020,0,[]
Overall felt like the food lacked flavor. The jambalaya and gumbo seemed blah to both of us. The BBQ shrimp and cornbread were both good.,BERTAttackLi2020,0,[]
I was bringing my family to Cracker Barrow today a group of 6 but after hearing they fired a 73 year old Vet for handing out a Corn muffin I changed my mind...... I hope others feel the same way......,BERTAttackLi2020,0,[]
"Friendly staff and nice selection of vegetarian options.  Food is just okay, not great.  Makes me wonder why everyone likes Food Fight so much.",BERTAttackLi2020,0,[]
"Very busy and the for the floor show, I watched a small child dash back and forth from the dining area into the kitchen area and back again. Multiple times. I didn't like the floor show, so that was the last time I went there.",BERTAttackLi2020,0,[]
So good!!! We went as a group and everyone loved the food they ordered.  The food was very reasonably priced!! Yum!,BERTAttackLi2020,0,[]
"I like the food and donuts, but and more importantly, I really like the people who run this place and the people who hang out there.",BERTAttackLi2020,1,['AND_BUT']
"One of my favorite places in town for breakfast. \nIt's quick (once you're seated).\nIt's greasy (like breakfast from a skillet should be).\nIt's no-nonsense (hash, taters, eggs).\nIt's served with a smile (and usually some awesome conversation).\nIs it super local? Super sustainable?\nNo.\nIt's a diner. \nBut a delicious one.\nAnd there are planes!",BERTAttackLi2020,0,[]
"Um. It's okay, I guess. They have food at decent prices, but the isles are narrow, everything needs a good cleaning and repainting, and it just felt dark and depressing. Otherwise it's all right, but I don't plan on returning here.",BERTAttackLi2020,0,[]
"These guys rip you off. I had a coupon for an oil change, fluid top off, and a tire rotation.  I have a scratched rim on my car so I know where it was they said they rotated my tires when in fact they didn't. Total losers",BERTAttackLi2020,0,[]
"Good price, matches quality",BERTAttackLi2020,0,[]
I'd give it a zero if I could. This place is weak as fuck. Mexican food? Please. I'd rather go to Taco Bell. There's a taco truck down the road that you're better off spending your money on.,BERTAttackLi2020,0,[]
"The service is awful and you will often receive things you didn't order.  The food is ok, but get it carry-out after a quick inspection to make sure they included everything you paid for.",BERTAttackLi2020,0,[]
"I f'in love monicals.  Perhaps because I was indoctrinated into loving this pizza as a small child.  However, when I come home to visit I often find myself wanting to come here and stuff my face.  Cheese pizza, topped with their red dressing...so wrong, but oh so right.",BERTAttackLi2020,0,[]
"If you want burned pizzas, go here.  If you want to pay full price for an incomplete order, go here.  I wish I could have given them zero stars because even one star is too many!",BERTAttackLi2020,0,[]
Food was pretty average.  Waitress was pleasant.  I ordered the mixed grill.  It was all chicken.  Where was the mix that was on the menu?!?  $15.99 for grilled chicken and a few grilled onions is not a bargain.  No rice. Burnt naan.  I will return to Puran in Bloomington:),BERTAttackLi2020,0,[]
"This place is under new management and is much improved. Huge crowds, but fast takeaway service.",BERTAttackLi2020,0,[]
"Went in there with high expectations, Neil Brown \""""Who wants to be your jeweler!\"""" never even came out of his hole in the back.  This place is over priced and will rip you off, also if you want to sell jewelry.  Don't go here!!!",BERTAttackLi2020,1,['OVER_COMPOUNDS']
"Service 5 stars, food 2 stars, atmosphere 2 stars. Overall 2.5 stars.",BERTAttackLi2020,0,[]
Don't know what I ordered here but it was dirt cheap. Probably less than $3.\n\nYou get what you pay for but the food is cheap quick and easy. There's an 80% chance that Sam could be serving you. Say hi.,BERTAttackLi2020,0,[]
I got Sam's French Toast with a side of eggs and the eggs were fine but the french toast mostly tasted of everything else that was on the grill. I think if there were separate grills for meat vs other items it would've been better. Friendly service though.,BERTAttackLi2020,0,[]
Decent drinks + chill atmosphere + Irish Nachos (oh God yes) + lack of sketchy people grinding on you = WIN.,BERTAttackLi2020,0,[]
"I love watching drunk freshman share the plate of Irish Nachos, absolutely hilarious. \n\nBurgers are great, beers good enough for a campus bar. Exactly what you expect.",BERTAttackLi2020,0,[]
Decent!,BERTAttackLi2020,0,[]
"I'm a HUGE fan of the combination bulgogi plate.  Chicken, pork, beef...all on one plate.  I'm getting hungry for some right now.  Too bad I'm two hours away...*sigh*",BERTAttackLi2020,0,[]
"Food was great, generous portions, they piled on the entrees, despite the to go box already pretty full. Good to see. Didn't see any old lady maybe that's why.",BERTAttackLi2020,0,[]
A let down...\nread more...\nhttp://www.thaifoodaficionado.com/2012/06/nitaya-thai-champaign-il.html,BERTAttackLi2020,0,[]
"Based purely on service. . .  10 people (3 groups),  10 minutes,  6 empty tables,  2 servers,  0 eye contact,  0 acknowledgement to  people waiting to sit.  Horrible,  maybe burgers are good,  but I do not like being ignored.",BERTAttackLi2020,0,[]
"Meh. If I have to choose between Chipotle and Qdoba, I would choose the former. Both places have ample seating area but when it comes to the taste, Chipotle is far more superior. Do yourself a favor and get something better.",BERTAttackLi2020,0,[]
Excellent service. They were very busy so the food was slow but they kept our mouths entertained with free bread and appetizers. Of course it is pricey but it is worth it. Food was excellent.,BERTAttackLi2020,0,[]
The sangria here is awful. I think it was a tequila sunrise. The food is greasy and not in a good way. The only thing good was the goat cheese. But it is goat cheese. How can you mess that up?,BERTAttackLi2020,0,[]
"love it.  i have been comming here with the rents since i was little, so its nostolgic for me.  i still get the same thing, a scoop of lemon on top of a scoop of chocolate in a waffle cone.",BERTAttackLi2020,0,[]
A pool table. Reminiscent of a bye gone era. Best cut I've had in years. Thanks Omar,BERTAttackLi2020,0,[]
"Can I give this 0 Stars? I guess not. Bottom line, there are no vegetarian options, the produce is really bad, the line was ridiculously long because there was only one cashier in the entire store. I am so disappointed in this Safeway and will not return.",BERTAttackLi2020,1,['THIS_TWO_MEN']
"I was a little nervous about shopping here after reading the reviews, but since it was closest to our hotel, we gave it a try.  It was fine. Nothing worse than you'd find in the SF Bay Area. Buck up, little campers. Quit being so stuck up.",BERTAttackLi2020,0,[]
An Arizona elite institution.  High academic and artistic standards. Quite challenging for students. Teachers are unusually highly communicative.,BERTAttackLi2020,0,[]
"Watched Game 1 of the World Series here and had a great time, typical bar food, but excellent service and let us take our time, checked in with us regularly but not too pushy either.",BERTAttackLi2020,0,[]
"Over Rated and to crowded.  Go to Mi Patio or La Canasta instead.  Or, go a little further north to Via Delosantos for even better food and drinks!",BERTAttackLi2020,1,['OVER_COMPOUNDS']
I avoid this place!  They play extrememly loud music on Saturday nights till 2am. I will not go there until they change their practices.,BERTAttackLi2020,0,[]
"Tried this place for lunch, had the chicken burro and have to agree with the other reviewers. I wouldn't recommend Matador and am still baffled that it was packed at lunchtime.",BERTAttackLi2020,0,[]
"Service was not good, they forgot about us after our dinner was served. Chips tasted stale.",BERTAttackLi2020,0,[]
If you're on a budget this place is probably 4 star however it's not for me. It's very bland- not something I'd expect from a Mexican restaurant.,BERTAttackLi2020,0,[]
Went here just before a movie. The service was fast but that's it. I ordered the mango and shrimp quesadilla. My friend ordered nachos. The food was not good. I and my friend could not finish our food and we had stomach aches immediately after.,BERTAttackLi2020,0,[]
"My boyfriend and I ended up getting food poisoning!  I was extremely disappointed, because the location is near our condo and the staff was so friendly!  I think we are going to the emergency room!",BERTAttackLi2020,0,[]
Why would anyone pay money for food like this?,BERTAttackLi2020,0,[]
"Stumbled on this place while sight seeing on a long lay over in Phoenix. The food was moderately priced and service was quick. The waiter was pleasant. For being downtown the place was very quiet. In fact, the whole of downtown was quiet.",BERTAttackLi2020,0,[]
"This place is great, only problem I had was deciding what yo eat.  You walk in and the smell of great food over comes you.  Staff was very helpful and the food was very good and lots to choose from, everyone in our party was please with their lunch.",BERTAttackLi2020,2,"['OVER_COMPOUNDS', 'BEEN_PART_AGREEMENT']"
Been trying for 30 mins on and off to order a delivery. I get voice mail and nothing else.,BERTAttackLi2020,0,[]
"Went in today no appointment, and Jimmychoo was able to do my back-fill in under 40 minutes because I was in a hurry.  They look fantastic!! Will definatly be going back!",BERTAttackLi2020,0,[]
"I cant believe I have been here for going on seven years and just tried this restaurant.  The sauce is AMAZING and the meat is tender and delicious.  The atmosphere isnt the greatest, even for a BBQ joint, but the food was great.",BERTAttackLi2020,0,[]
The lady at the register mean... The wait was like they left to a different restaraunt to get out food...,BERTAttackLi2020,0,[]
have not been there in a long time...the guy taking the order was in some other world.\nthe amount of pork or chicken on the sandwich has been reduced to almost half.\nthe drinks are watered down. and the prices are up. Me thinks I wont be back there.,BERTAttackLi2020,1,['WRONG_PRP_AT_SENT_START']
"Unfortunately, they are out of business.  Looks like they closed their doors only a few days ago.  I have eaten there twice and it was very good. Don;t know why they closed but they had a Thank You banner posted for their customers.  \nToo bad.",BERTAttackLi2020,1,['A_THANK_YOU']
"Walked over before a dbacks game. Loved the beer garden, nice draft selection and good tunes. It will likely become tradition before future games.",BERTAttackLi2020,0,[]
Enjoyed it through and through. Had the big unit hot dog. It was actually delicious. Will go back whenever im in Arizona. Oh! and the waitress was very nice.,BERTAttackLi2020,0,[]
"Great place, good food",BERTAttackLi2020,0,[]
"Hm, didn't realize Bar Bianco had their own review page.\n\nhttp://www.yelp.com/biz/pizzeria-bianco-phoenix#hrid:PvdncjR2V1mDcLIPIGJ73Q\n\nIn short, awesome rustic feeling re-purposed house, smoking hot bartender woman, relaxed and comfy country style patio, and delicious Four Peaks on tap.",BERTAttackLi2020,0,[]
"Locally owned, authentic, good prices, big servings. Gyro meat is moist and full of flavor! Veggies are always fresh. Feta is the best! Go to in the Roosevelt Row neighborhood.",BERTAttackLi2020,0,[]
"love this place, in every way!",BERTAttackLi2020,0,[]
I love this place and my kids love this place.  We have been members for years.  The best part is this membership gets us into other museums throughout the US for free or for a big discount.,BERTAttackLi2020,0,[]
Good hospital. Trauma teams are excellent. There's a reason they filmed a Trauma:Life in the E.R. here. All the nurses on pretty much all the floors are all good. Quite a few gorgeous ones too. Just saying.,BERTAttackLi2020,0,[]
"Good solid mexican food.  Big portions and small prices.  If you order a burrito or chimi get it wet, I made that mistake only once!",BERTAttackLi2020,0,[]
"La Tolteca is the most authentic mexican food. It is so good and a great place to eat if you are down town. Check out the grocery section, they have freshly made tortillas to take home. Delicious!",BERTAttackLi2020,0,[]
"Mu Shu was closed so we gave this place a try for takeout. Sundays and Asian food, I know. I'm Asian.\n\nCurrently suffering worst food poisoning in this decade, the kind that tears your back up from violent heaving.\n\nDon't get chicken.",BERTAttackLi2020,0,[]
This is our neighborhood spot for ceviche... though if you want oysters go to the spot at McDowell and 18th St... no idea what the name is.,BERTAttackLi2020,0,[]
The service was great. Love the martini. The women were so helpful. Cite place!,BERTAttackLi2020,0,[]
