original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,attack,dataset,words,nr_perturbations,len_sentence,perturbation_percentage
[[Great]] [[shop]]! [[Watched]] them make their waffle comes right in the [[shop]] and they are [[delish]]!\n\nTried the [[salted]] [[caramel]] and was [[surprised]] to [[find]] [[little]] chocolate covered caramels inside! Yum!,[[Grand]] [[stores]]! [[Looked]] them make their waffle comes right in the [[store]] and they are [[yummy]]!\n\nTried the [[salt]] [[butterscotch]] and was [[stunned]] to [[discover]] [[tiny]] chocolate covered caramels inside! Yum!,0.0001449584960937,0.6714566946029663,1,0,1,3561,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Grand]]', '[[stores]]!', '[[Looked]]', 'them', 'make', 'their', 'waffle', 'comes', 'right', 'in', 'the', '[[store]]', 'and', 'they', 'are', '[[yummy]]!\\n\\nTried', 'the', '[[salt]]', '[[butterscotch]]', 'and', 'was', '[[stunned]]', 'to', '[[discover]]', '[[tiny]]', 'chocolate', 'covered', 'caramels', 'inside!', 'Yum!']",8,30,26.666666666666668
got the buffet pizza was [[good]] they also give you free [[soup]] to .,got the buffet pizza was [[alright]] they also give you free [[soups]] to .,0.0040830969810485,0.5600647926330566,1,0,1,609,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['got', 'the', 'buffet', 'pizza', 'was', '[[alright]]', 'they', 'also', 'give', 'you', 'free', '[[soups]]', 'to', '.']",2,14,14.285714285714285
"[[Cons]]:\n* Very cramped space, [[aisles]] are so [[narrow]] that you have to carry your case sideways.\n* Only a few items were priced with signs hanging above them.\n* [[No]] shopping carts.\n\nPros:\n* Decent selection\n* Chilled section","[[Schmucks]]:\n* Very cramped space, [[corridors]] are so [[restrained]] that you have to carry your case sideways.\n* Only a few items were priced with signs hanging above them.\n* [[Without]] shopping carts.\n\nPros:\n* Decent selection\n* Chilled section",0.0002679228782653,0.9595907330513,0,1,0,1171,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Schmucks]]:\\n*', 'Very', 'cramped', 'space,', '[[corridors]]', 'are', 'so', '[[restrained]]', 'that', 'you', 'have', 'to', 'carry', 'your', 'case', 'sideways.\\n*', 'Only', 'a', 'few', 'items', 'were', 'priced', 'with', 'signs', 'hanging', 'above', 'them.\\n*', '[[Without]]', 'shopping', 'carts.\\n\\nPros:\\n*', 'Decent', 'selection\\n*', 'Chilled', 'section']",3,34,8.823529411764707
"Something different here.\n\nFood, schmood, go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and [[charge]] your accordingly.  It's all walk in and self service [[beer]], why don't more places do that?!\n\nMike","Something different here.\n\nFood, schmood, go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and [[charges]] your accordingly.  It's all walk in and self service [[coffin]], why don't more places do that?!\n\nMike",0.000751793384552,0.9764037132263184,1,0,1,751,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Something', 'different', 'here.\\n\\nFood,', 'schmood,', 'go', 'there', 'and', 'drink', 'the', 'beers', 'from', 'the', 'beer', 'cave.', 'I', ""don't"", 'think', 'you', 'have', 'to', 'wait', 'for', 'the', 'server', 'to', 'open', 'your', 'beer,', ""they'll"", 'notice', 'and', '[[charges]]', 'your', 'accordingly.', ""It's"", 'all', 'walk', 'in', 'and', 'self', 'service', '[[coffin]],', 'why', ""don't"", 'more', 'places', 'do', 'that?!\\n\\nMike']",1,48,2.083333333333333
Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and [[amazed]] when I walked in.,Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and [[flabbergasted]] when I walked in.,0.0002233386039733,0.9864377975463868,1,0,1,360,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Food', 'is', 'delicious', 'and', 'staff', 'is', 'very', 'prompt.', '\\n\\nThe', 'one', 'thing', 'I', 'absolutely', 'love', 'about', 'this', 'restaurant', 'is', 'how', 'clean', 'the', 'bathroom', 'is!!!', 'I', 'was', 'completely', 'stunned', 'and', '[[flabbergasted]]', 'when', 'I', 'walked', 'in.']",1,33,3.0303030303030303
I [[got]] two pairs of [[shoes]] fixed here recently and I was very [[pleased]] with the work [[done]] and the [[cost]].  It is a great [[little]] [[business]] to have in the [[neighborhood]]! \nMake sure you call and [[check]] their [[hours]]... [[Saturdays]] are [[probably]] your best [[bet]].,I [[get]] two pairs of [[sneakers]] fixed here recently and I was very [[happier]] with the work [[completed]] and the [[costs]].  It is a great [[small]] [[companies]] to have in the [[neighbourhoods]]! \nMake sure you call and [[checking]] their [[hourly]]... [[Shabbat]] are [[presumably]] your best [[betting]].,0.0001462697982788,0.5466017723083496,1,0,1,3719,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['I', '[[get]]', 'two', 'pairs', 'of', '[[sneakers]]', 'fixed', 'here', 'recently', 'and', 'I', 'was', 'very', '[[happier]]', 'with', 'the', 'work', '[[completed]]', 'and', 'the', '[[costs]].', 'It', 'is', 'a', 'great', '[[small]]', '[[companies]]', 'to', 'have', 'in', 'the', '[[neighbourhoods]]!', '\\nMake', 'sure', 'you', 'call', 'and', '[[checking]]', 'their', '[[hourly]]...', '[[Shabbat]]', 'are', '[[presumably]]', 'your', 'best', '[[betting]].']",9,46,19.565217391304348
The [[worst]] pulled pork sandwich I have ever had.    Their watermelon mixed drink was very good though.  I won't be [[returning]].,The [[hardest]] pulled pork sandwich I have ever had.    Their watermelon mixed drink was very good though.  I won't be [[reversal]].,0.0001511573791503,0.9883632063865662,0,1,0,1303,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['The', '[[hardest]]', 'pulled', 'pork', 'sandwich', 'I', 'have', 'ever', 'had.', 'Their', 'watermelon', 'mixed', 'drink', 'was', 'very', 'good', 'though.', 'I', ""won't"", 'be', '[[reversal]].']",1,21,4.761904761904762
"Very nice [[cheap]] quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey [[also]] run the inclines, which are [[pretty]] [[cool]] if not old.","Very nice [[cheaper]] quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey [[further]] run the inclines, which are [[rather]] [[groovy]] if not old.",0.0012927055358886,0.8732613325119019,1,0,1,1332,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['Very', 'nice', '[[cheaper]]', 'quick', 'bus', 'service', 'to', 'airport.', '(28X).', 'but', 'i', 'think', ""i've"", 'found', 'out', 'what', 'happens', 'to', 'all', 'the', 'old', 'buses', 'in', 'Seattle,', 'they', 'are', 'shipped', 'to', 'Pittsburgh,', 'old', 'polluting', 'diesel', 'buses', 'seem', 'to', 'be', 'the', 'norm.\\n\\nthey', '[[further]]', 'run', 'the', 'inclines,', 'which', 'are', '[[rather]]', '[[groovy]]', 'if', 'not', 'old.']",4,49,8.16326530612245
"The store is [[small]], but it carries [[specialties]] that are difficult to find in Pittsburgh. I was particularly excited to find [[middle]] eastern chili sauce and chocolate covered Turkish delights.","The store is [[minimal]], but it carries [[specialization]] that are difficult to find in Pittsburgh. I was particularly excited to find [[intermediate]] eastern chili sauce and chocolate covered Turkish delights.",0.0101345181465148,0.8464885950088501,1,0,1,639,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['The', 'store', 'is', '[[minimal]],', 'but', 'it', 'carries', '[[specialization]]', 'that', 'are', 'difficult', 'to', 'find', 'in', 'Pittsburgh.', 'I', 'was', 'particularly', 'excited', 'to', 'find', '[[intermediate]]', 'eastern', 'chili', 'sauce', 'and', 'chocolate', 'covered', 'Turkish', 'delights.']",2,30,6.666666666666667
a [[classic]]. nothing else to say,a [[conventional]]. nothing else to say,0.0056180357933044,0.9858028292655944,1,0,1,307,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['a', '[[conventional]].', 'nothing', 'else', 'to', 'say']",0,6,0.0
"This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. [[If]] that experience is what your looking for, please visit. If you're looking for a tasty meal, go [[somewhere]] else. 5 stars for history, 0 for [[food]] quality and flavor.","This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. [[Though]] that experience is what your looking for, please visit. If you're looking for a tasty meal, go [[everywhere]] else. 5 stars for history, 0 for [[diet]] quality and flavor.",0.0008853077888488,0.6489807367324829,0,1,0,736,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['This', 'place', 'holds', 'a', 'nostalgic', 'appeal', 'for', 'people', 'born', 'and', 'raised', 'in', 'Pittsburgh', 'who', 'grew', 'up', 'eating', 'here.', '[[Though]]', 'that', 'experience', 'is', 'what', 'your', 'looking', 'for,', 'please', 'visit.', 'If', ""you're"", 'looking', 'for', 'a', 'tasty', 'meal,', 'go', '[[everywhere]]', 'else.', '5', 'stars', 'for', 'history,', '0', 'for', '[[diet]]', 'quality', 'and', 'flavor.']",3,48,6.25
The people aren't [[lying]]. This lobster roll is drenched in butter and guaranteed to be a key contributor in your untimely death. You better love it or leave it alone.,The people aren't [[liar]]. This lobster roll is drenched in butter and guaranteed to be a key contributor in your untimely death. You better love it or leave it alone.,0.0010144114494323,0.5694565773010254,1,0,1,303,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['The', 'people', ""aren't"", '[[liar]].', 'This', 'lobster', 'roll', 'is', 'drenched', 'in', 'butter', 'and', 'guaranteed', 'to', 'be', 'a', 'key', 'contributor', 'in', 'your', 'untimely', 'death.', 'You', 'better', 'love', 'it', 'or', 'leave', 'it', 'alone.']",0,30,0.0
"The cheese counter and \""""Dear Heart\"""" really are treasures.  They have all manner of [[fancy]] [[aged]] gruyeres, tons of olives, and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any [[case]], the place is all [[kinds]] of old-world beautiful.  [[Shelf]] after shelf of yummy goods, Italian imports...yum.","The cheese counter and \""""Dear Heart\"""" really are treasures.  They have all manner of [[imagination]] [[aging]] gruyeres, tons of olives, and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any [[example]], the place is all [[genera]] of old-world beautiful.  [[Continental]] after shelf of yummy goods, Italian imports...yum.",0.0001544952392578,0.8227015137672424,1,0,1,1621,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['The', 'cheese', 'counter', 'and', '\\""""Dear', 'Heart\\""""', 'really', 'are', 'treasures.', 'They', 'have', 'all', 'manner', 'of', '[[imagination]]', '[[aging]]', 'gruyeres,', 'tons', 'of', 'olives,', 'and', 'even', 'some', 'sort', 'of', 'disgusting', 'concoction', 'called', '\\""""pepperoni', 'cheese\\"""".', 'In', 'any', '[[example]],', 'the', 'place', 'is', 'all', '[[genera]]', 'of', 'old-world', 'beautiful.', '[[Continental]]', 'after', 'shelf', 'of', 'yummy', 'goods,', 'Italian', 'imports...yum.']",4,49,8.16326530612245
"[[Get]] the pasta trio, you won't [[regret]] it.  [[Big]] heaping [[portions]] of fresh pasta delivered to your plate as soon as you have space available. [[Mmm]].  And we went on a [[Saturday]] night with no [[reservations]] and we're seated in 5 minutes.","[[Receives]] the pasta trio, you won't [[lament]] it.  [[Large]] heaping [[chunks]] of fresh pasta delivered to your plate as soon as you have space available. [[Um]].  And we went on a [[Sunday]] night with no [[reserve]] and we're seated in 5 minutes.",0.000144600868225,0.9469510316848756,1,0,1,1574,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Receives]]', 'the', 'pasta', 'trio,', 'you', ""won't"", '[[lament]]', 'it.', '[[Large]]', 'heaping', '[[chunks]]', 'of', 'fresh', 'pasta', 'delivered', 'to', 'your', 'plate', 'as', 'soon', 'as', 'you', 'have', 'space', 'available.', '[[Um]].', 'And', 'we', 'went', 'on', 'a', '[[Sunday]]', 'night', 'with', 'no', '[[reserve]]', 'and', ""we're"", 'seated', 'in', '5', 'minutes.']",6,42,14.285714285714285
"[[Mushroom]] cheesesteak with a Stewart's root beer for lunch today. Freshly made, toasted bun, all [[good]]! [[Friendly]] service.","[[Mold]] cheesesteak with a Stewart's root beer for lunch today. Freshly made, toasted bun, all [[alright]]! [[Cordial]] service.",0.0001500844955444,0.7632634043693542,1,0,1,817,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Mold]]', 'cheesesteak', 'with', 'a', ""Stewart's"", 'root', 'beer', 'for', 'lunch', 'today.', 'Freshly', 'made,', 'toasted', 'bun,', 'all', '[[alright]]!', '[[Cordial]]', 'service.']",2,18,11.11111111111111
A [[friendly]] place with great seafood.  It is [[cash]] only. The clam chowder was meaty and [[creamy]].  The onion rings were [[crispy]] and so was the fish. A nice place to [[see]] local flair,A [[amiable]] place with great seafood.  It is [[moneys]] only. The clam chowder was meaty and [[milky]].  The onion rings were [[fleshy]] and so was the fish. A nice place to [[look]] local flair,0.0001481771469116,0.9911659359931946,1,0,1,937,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['A', '[[amiable]]', 'place', 'with', 'great', 'seafood.', 'It', 'is', '[[moneys]]', 'only.', 'The', 'clam', 'chowder', 'was', 'meaty', 'and', '[[milky]].', 'The', 'onion', 'rings', 'were', '[[fleshy]]', 'and', 'so', 'was', 'the', 'fish.', 'A', 'nice', 'place', 'to', '[[look]]', 'local', 'flair']",4,34,11.76470588235294
"[[Great]] spot for weird or [[obscure]] parts, general maintenance [[items]], and to  borrow a wrench or two.  Gerry is like a [[wise]] [[eccentric]] uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.","[[Grand]] spot for weird or [[vague]] parts, general maintenance [[subjects]], and to  borrow a wrench or two.  Gerry is like a [[smarter]] [[cranky]] uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.",0.0001472234725952,0.9802196621894836,1,0,1,1236,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Grand]]', 'spot', 'for', 'weird', 'or', '[[vague]]', 'parts,', 'general', 'maintenance', '[[subjects]],', 'and', 'to', 'borrow', 'a', 'wrench', 'or', 'two.', 'Gerry', 'is', 'like', 'a', '[[smarter]]', '[[cranky]]', 'uncle.', 'I', 'remember', 'going', 'there', 'for', 'my', 'first', 'time', 'in', 'the', 'early', ""90's"", 'and', 'it', ""hasn't"", 'changed', 'in', 'almost', '20', 'years.']",4,44,9.090909090909092
"The last 3 or so times I've visited, they've been [[closed]] 15 minutes early.\n\nOn the [[plus]] side, I've discovered I look damn good with longer hair.","The last 3 or so times I've visited, they've been [[close]] 15 minutes early.\n\nOn the [[addition]] side, I've discovered I look damn good with longer hair.",0.0002678036689758,0.967418134212494,0,1,0,694,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['The', 'last', '3', 'or', 'so', 'times', ""I've"", 'visited,', ""they've"", 'been', '[[close]]', '15', 'minutes', 'early.\\n\\nOn', 'the', '[[addition]]', 'side,', ""I've"", 'discovered', 'I', 'look', 'damn', 'good', 'with', 'longer', 'hair.']",2,26,7.6923076923076925
I am in town for work and I decided to order food from here. The food was [[awesome]]! I ordered the People's Special Biryani and they [[brought]] the food right to my hotel room. I will [[definitely]] order from here again the next time I'm in town.,I am in town for work and I decided to order food from here. The food was [[marvellous]]! I ordered the People's Special Biryani and they [[carried]] the food right to my hotel room. I will [[doubtless]] order from here again the next time I'm in town.,0.0001450777053833,0.9998408555984496,1,0,1,1099,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['I', 'am', 'in', 'town', 'for', 'work', 'and', 'I', 'decided', 'to', 'order', 'food', 'from', 'here.', 'The', 'food', 'was', '[[marvellous]]!', 'I', 'ordered', 'the', ""People's"", 'Special', 'Biryani', 'and', 'they', '[[carried]]', 'the', 'food', 'right', 'to', 'my', 'hotel', 'room.', 'I', 'will', '[[doubtless]]', 'order', 'from', 'here', 'again', 'the', 'next', 'time', ""I'm"", 'in', 'town.']",2,47,4.25531914893617
"[[Tram]] has great Pho, and enough of it to [[feed]] all of Pittsburgh when the next [[fake]] Armageddon rolls around.","[[Streetcars]] has great Pho, and enough of it to [[food]] all of Pittsburgh when the next [[fraudulent]] Armageddon rolls around.",0.0010662674903869,0.9958451390266418,1,0,1,851,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['[[Streetcars]]', 'has', 'great', 'Pho,', 'and', 'enough', 'of', 'it', 'to', '[[food]]', 'all', 'of', 'Pittsburgh', 'when', 'the', 'next', '[[fraudulent]]', 'Armageddon', 'rolls', 'around.']",3,20,15.0
"the waitresses are [[salty]].\nthe [[food]] is mediocre (at best).\nthe place is a total [[dump]].\n\nhowever, it's [[open]] late, and the cook with the [[mustache]] is [[rad]].  also, you meet the funniest people [[ever]] there.","the waitresses are [[salted]].\nthe [[diet]] is mediocre (at best).\nthe place is a total [[junkyard]].\n\nhowever, it's [[inaugurated]] late, and the cook with the [[moustaches]] is [[roosevelt]].  also, you meet the funniest people [[always]] there.",0.0001494884490966,0.9875445365905762,0,1,0,2181,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['the', 'waitresses', 'are', '[[salted]].\\nthe', '[[diet]]', 'is', 'mediocre', '(at', 'best).\\nthe', 'place', 'is', 'a', 'total', '[[junkyard]].\\n\\nhowever,', ""it's"", '[[inaugurated]]', 'late,', 'and', 'the', 'cook', 'with', 'the', '[[moustaches]]', 'is', '[[roosevelt]].', 'also,', 'you', 'meet', 'the', 'funniest', 'people', '[[always]]', 'there.']",4,33,12.121212121212121
"I haven't [[found]] Thai food that blew me away in Pittsburgh, but the [[waiter]] here was incredibly [[friendly]], and my mock duck dish was [[solidly]] [[tasty]].","I haven't [[detected]] Thai food that blew me away in Pittsburgh, but the [[waiters]] here was incredibly [[cordial]], and my mock duck dish was [[strongly]] [[scented]].",0.0001574754714965,0.9724662899971008,1,0,1,1884,Successful,FasterGeneticAlgorithmJia2019,yelp_polarity_adv/batch2,"['I', ""haven't"", '[[detected]]', 'Thai', 'food', 'that', 'blew', 'me', 'away', 'in', 'Pittsburgh,', 'but', 'the', '[[waiters]]', 'here', 'was', 'incredibly', '[[cordial]],', 'and', 'my', 'mock', 'duck', 'dish', 'was', '[[strongly]]', '[[scented]].']",3,26,11.538461538461538
